episode,job_count,machine_count,selection_count,best_source,candidate_count,loss,score_json,hard_violation_count,makespan,bay_internal_cut_length_gap,bay_internal_wo_count_gap,bay_internal_bevel_quantity_gap,bay_internal_occupancy_gap,raw_hard_violation_count,raw_makespan,raw_bay_internal_cut_length_gap,raw_bay_internal_wo_count_gap,raw_bay_internal_bevel_quantity_gap,raw_bay_internal_occupancy_gap,normalized_bay_internal_cut_length_gap,normalized_bay_internal_wo_count_gap,normalized_bay_internal_bevel_quantity_gap,normalized_bay_internal_occupancy_gap
1,80,15,80,22:agent_sample_31|23:agent_sample_57|24:agent_sample_64|25:lpt_batch|trans:lpt_batch,340,1.838710165,"[0, 128.883191, 339.253199399, 9.0, 25.0, 62.988867]",0,128.883191,339.253199399,9.0,25.0,62.988867,0,128.883191,339.253199399,9.0,25.0,62.988867,1.517633407,1.975393027,7.969565217,0.86707242
2,164,15,164,22:lpt_batch|23:agent_sample_6|24:agent_sample_29|25:lpt_batch|trans:lpt_batch,340,2.242853618,"[0, 296.899048, 234.785815106, 8.0, 18.0, 57.558005]",0,296.899048,234.785815106,8.0,18.0,57.558005,0,296.899048,234.785815106,8.0,18.0,57.558005,0.710685334,1.103391233,5.485714286,0.787555565
3,71,15,71,22:agent_sample_47|23:agent_sample_21|24:lpt_batch|25:lpt_batch|trans:agent_sample_5,340,1.733997488,"[0, 94.46546, 297.331887748, 11.0, 31.0, 67.501249]",0,94.46546,297.331887748,11.0,31.0,67.501249,0,94.46546,297.331887748,11.0,31.0,67.501249,1.178538539,2.271428571,7.763369963,1.123226723
4,78,15,78,22:agent_sample_47|23:agent_sample_10|24:agent_sample_11|25:lpt_batch|trans:lpt_batch,340,1.745982981,"[0, 114.533805, 232.508577676, 6.0, 18.0, 71.942701]",0,114.533805,232.508577676,6.0,18.0,71.942701,0,114.533805,232.508577676,6.0,18.0,71.942701,1.580679285,1.462417583,8.635714286,1.328574812
5,145,15,145,22:lpt_batch|23:lpt_batch|24:agent_greedy|25:lpt_batch|trans:lpt_batch,340,2.334620643,"[0, 186.142226, 446.576383608, 18.0, 45.0, 49.596006]",0,186.142226,446.576383608,18.0,45.0,49.596006,0,186.142226,446.576383608,18.0,45.0,49.596006,0.979883145,2.713997879,6.762393162,0.521302891
6,84,15,84,22:agent_sample_28|23:agent_sample_24|24:agent_sample_64|25:lpt_batch|trans:lpt_batch,340,1.85940001,"[0, 107.832738, 427.164795177, 5.0, 23.0, 47.812065]",0,107.832738,427.164795177,5.0,23.0,47.812065,0,107.832738,427.164795177,5.0,23.0,47.812065,1.727832572,1.266077401,9.345238096,0.762096506
7,183,15,183,22:lpt_batch|23:lpt_batch|24:lpt_batch|25:lpt_batch|trans:lpt_batch,340,2.679878187,"[0, 172.927781, 458.496587726, 16.0, 31.0, 57.13523]",0,172.927781,458.496587726,16.0,31.0,57.13523,0,172.927781,458.496587726,16.0,31.0,57.13523,0.729071259,1.405277119,4.437584346,0.460519011
8,170,15,170,22:lpt_batch|23:lpt_batch|24:agent_sample_16|25:lpt_batch|trans:lpt_batch,340,2.344601774,"[0, 256.016393, 329.13929213, 11.0, 39.0, 135.663946]",0,256.016393,329.13929213,11.0,39.0,135.663946,0,256.016393,329.13929213,11.0,39.0,135.663946,1.273391354,2.130430482,6.336363636,1.774481918
9,256,15,256,22:lpt_batch|23:lpt_batch|24:lpt_batch|25:lpt_batch|trans:lpt_batch,340,2.926516247,"[0, 226.598257, 421.524255905, 5.0, 75.0, 10.292309]",0,226.598257,421.524255905,5.0,75.0,10.292309,0,226.598257,421.524255905,5.0,75.0,10.292309,0.417100207,0.265102933,5.802055917,0.051429219
10,178,15,178,22:lpt_batch|23:long_cut_batch|24:agent_sample_49|25:lpt_batch|trans:lpt_batch,340,2.497825265,"[0, 234.197323, 410.992525688, 20.0, 33.0, 37.501574]",0,234.197323,410.992525688,20.0,33.0,37.501574,0,234.197323,410.992525688,20.0,33.0,37.501574,0.857653744,2.976081507,7.238568376,0.439022012
11,109,15,109,22:agent_sample_55|23:agent_sample_16|24:agent_sample_21|25:lpt_batch|trans:lpt_batch,340,1.963204622,"[0, 186.952276, 282.061535145, 6.0, 20.0, 58.741104]",0,186.952276,282.061535145,6.0,20.0,58.741104,0,186.952276,282.061535145,6.0,20.0,58.741104,1.153385216,1.271950272,5.783333333,1.255372042
12,107,15,107,22:agent_sample_24|23:agent_sample_42|24:agent_sample_26|25:lpt_batch|trans:lpt_batch,340,1.921348834,"[0, 164.552241, 186.940654362, 4.0, 28.0, 58.05852]",0,164.552241,186.940654362,4.0,28.0,58.05852,0,164.552241,186.940654362,4.0,28.0,58.05852,0.745225803,0.972527473,7.289682541,1.073847475
13,214,15,214,22:lpt_batch|23:lpt_batch|24:lpt_batch|25:lpt_batch|trans:lpt_batch,340,2.693969059,"[0, 264.53361, 651.402012143, 7.0, 48.0, 51.430638]",0,264.53361,651.402012143,7.0,48.0,51.430638,0,264.53361,651.402012143,7.0,48.0,51.430638,0.904825056,0.600922761,4.348178137,0.34121864
